[25-Jan-2016 06:37:50] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:38:49] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:38:49] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:38:49] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:54:48] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:54:48] PHP Notice:  Undefined variable: db in E:\zic\elly\services\mysql.class.php on line 83
[25-Jan-2016 06:54:48] PHP Fatal error:  Call to a member function query() on a non-object in E:\zic\elly\services\mysql.class.php on line 83
[25-Jan-2016 06:54:50] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:54:50] PHP Notice:  Undefined variable: db in E:\zic\elly\services\mysql.class.php on line 83
[25-Jan-2016 06:54:50] PHP Fatal error:  Call to a member function query() on a non-object in E:\zic\elly\services\mysql.class.php on line 83
[25-Jan-2016 06:54:57] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:54:57] PHP Notice:  Undefined variable: db in E:\zic\elly\services\mysql.class.php on line 83
[25-Jan-2016 06:54:57] PHP Fatal error:  Call to a member function query() on a non-object in E:\zic\elly\services\mysql.class.php on line 83
[25-Jan-2016 06:55:40] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:55:40] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[25-Jan-2016 06:55:40] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[25-Jan-2016 06:55:40] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[25-Jan-2016 06:55:42] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[25-Jan-2016 06:55:42] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[25-Jan-2016 06:55:42] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[25-Jan-2016 06:55:42] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:10] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:10] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:10] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:10] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:20] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:20] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:20] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
